path,size_bytes,ext
src/assistant/sessionHistory.ts,2503,.ts
src/bootstrap/state.ts,56109,.ts
src/bridge/bridgeApi.ts,18066,.ts
src/bridge/bridgeConfig.ts,1695,.ts
src/bridge/bridgeDebug.ts,4926,.ts
src/bridge/bridgeEnabled.ts,8442,.ts
src/bridge/bridgeMain.ts,115571,.ts
src/bridge/bridgeMessaging.ts,15703,.ts
src/bridge/bridgePermissionCallbacks.ts,1411,.ts
src/bridge/bridgePointer.ts,7611,.ts
src/bridge/bridgeStatusUtil.ts,5143,.ts
src/bridge/bridgeUI.ts,16780,.ts
src/bridge/capacityWake.ts,1841,.ts
src/bridge/codeSessionApi.ts,4840,.ts
src/bridge/createSession.ts,12157,.ts
src/bridge/debugUtils.ts,4240,.ts
src/bridge/envLessBridgeConfig.ts,7250,.ts
src/bridge/flushGate.ts,1981,.ts
src/bridge/inboundAttachments.ts,6267,.ts
src/bridge/inboundMessages.ts,2727,.ts
src/bridge/initReplBridge.ts,23849,.ts
src/bridge/jwtUtils.ts,9444,.ts
src/bridge/pollConfig.ts,4562,.ts
src/bridge/pollConfigDefaults.ts,4018,.ts
src/bridge/remoteBridgeCore.ts,39434,.ts
src/bridge/replBridge.ts,100537,.ts
src/bridge/replBridgeHandle.ts,1473,.ts
src/bridge/replBridgeTransport.ts,15523,.ts
src/bridge/sessionIdCompat.ts,2536,.ts
src/bridge/sessionRunner.ts,18020,.ts
src/bridge/trustedDevice.ts,7764,.ts
src/bridge/types.ts,10161,.ts
src/bridge/workSecret.ts,4672,.ts
src/buddy/companion.ts,3715,.ts
src/buddy/CompanionSprite.tsx,45922,.tsx
src/buddy/prompt.ts,1451,.ts
src/buddy/sprites.ts,9797,.ts
src/buddy/types.ts,3805,.ts
src/buddy/useBuddyNotification.tsx,9959,.tsx
src/cli/exit.ts,1310,.ts
src/cli/handlers/agents.ts,2089,.ts
src/cli/handlers/auth.ts,10756,.ts
src/cli/handlers/autoMode.ts,5742,.ts
src/cli/handlers/mcp.tsx,56167,.tsx
src/cli/handlers/plugins.ts,31073,.ts
src/cli/handlers/util.tsx,14501,.tsx
src/cli/ndjsonSafeStringify.ts,1408,.ts
src/cli/print.ts,212735,.ts
src/cli/remoteIO.ts,9946,.ts
src/cli/structuredIO.ts,28720,.ts
src/cli/transports/ccrClient.ts,33775,.ts
src/cli/transports/HybridTransport.ts,10883,.ts
src/cli/transports/SerialBatchEventUploader.ts,9089,.ts
src/cli/transports/SSETransport.ts,23758,.ts
src/cli/transports/transportUtils.ts,1767,.ts
src/cli/transports/WebSocketTransport.ts,28195,.ts
src/cli/transports/WorkerStateUploader.ts,3879,.ts
src/cli/update.ts,14487,.ts
src/commands/add-dir/add-dir.tsx,18017,.tsx
src/commands/add-dir/index.ts,260,.ts
src/commands/add-dir/validation.ts,3207,.ts
src/commands/advisor.ts,3182,.ts
src/commands/agents/agents.tsx,2500,.tsx
src/commands/agents/index.ts,232,.ts
src/commands/ant-trace/index.js,73,.js
src/commands/autofix-pr/index.js,73,.js
src/commands/backfill-sessions/index.js,73,.js
src/commands/branch/branch.ts,9580,.ts
src/commands/branch/index.ts,445,.ts
src/commands/break-cache/index.js,73,.js
src/commands/bridge/bridge.tsx,46907,.tsx
src/commands/bridge/index.ts,604,.ts
src/commands/bridge-kick.ts,6703,.ts
src/commands/brief.ts,5173,.ts
src/commands/btw/btw.tsx,30250,.tsx
src/commands/btw/index.ts,314,.ts
src/commands/bughunter/index.js,73,.js
src/commands/chrome/chrome.tsx,31974,.tsx
src/commands/chrome/index.ts,381,.ts
src/commands/clear/caches.ts,6370,.ts
src/commands/clear/clear.ts,254,.ts
src/commands/clear/conversation.ts,9325,.ts
src/commands/clear/index.ts,603,.ts
src/commands/color/color.ts,2712,.ts
src/commands/color/index.ts,417,.ts
src/commands/commit-push-pr.ts,6309,.ts
src/commands/commit.ts,3492,.ts
src/commands/compact/compact.ts,10079,.ts
src/commands/compact/index.ts,530,.ts
src/commands/config/config.tsx,1408,.tsx
src/commands/config/index.ts,247,.ts
src/commands/context/context-noninteractive.ts,10781,.ts
src/commands/context/context.tsx,9099,.tsx
src/commands/context/index.ts,695,.ts
src/commands/copy/copy.tsx,42252,.tsx
src/commands/copy/index.ts,393,.ts
src/commands/cost/cost.ts,909,.ts
src/commands/cost/index.ts,668,.ts
src/commands/createMovedToPluginCommand.ts,1789,.ts
src/commands/ctx_viz/index.js,73,.js
src/commands/debug-tool-call/index.js,73,.js
src/commands/desktop/desktop.tsx,1645,.tsx
src/commands/desktop/index.ts,601,.ts
src/commands/diff/diff.tsx,1461,.tsx
src/commands/diff/index.ts,221,.ts
src/commands/doctor/doctor.tsx,1309,.tsx
src/commands/doctor/index.ts,381,.ts
src/commands/effort/effort.tsx,22128,.tsx
src/commands/effort/index.ts,428,.ts
src/commands/env/index.js,73,.js
src/commands/exit/exit.tsx,5272,.tsx
src/commands/exit/index.ts,250,.ts
src/commands/export/export.tsx,15104,.tsx
src/commands/export/index.ts,303,.ts
src/commands/extra-usage/extra-usage-core.ts,4000,.ts
